| 3. Januar 2007|<a href="/Treffen/Termine/01_2007/">Januartreffen 2007</a>|Vortrag: <a href="/Angebote/Vortraege/Perl_Workshop_I//">Perl-Workshop I</a> (Ingo Blechschmidt, Michael Hartmann)|
|2006|
| 6. Dezember 2006|<a href="/Treffen/Termine/12_2006/">Dezembertreffen 2006</a>|Weihnachtsfeier; Vortrag: <a href="/Angebote/Vortraege/Komprimierung/">Komprimierung</a> (Ingo Blechschmidt, Michael Hartmann)|
| 1. November 2006|<a href="/Treffen/Termine/11_2006/">Novembertreffen 2006</a>|
| 4. Oktober 2006|<a href="/Treffen/Termine/10_2006/">Oktobertreffen 2006</a>|Vortrag: <a href="/Angebote/Vortraege/Steganographie//">Steganographie</a> (Ingo Blechschmidt, Michael Hartmann)|
| 6. September 2006|<a href="/Treffen/Termine/09_2006/">Septembertreffen 2006</a>|
| 2. August 2006|<a href="/Treffen/Termine/08_2006/">Augusttreffen 2006</a>|
| 5. Juli 2006|<a href="/Treffen/Termine/07_2006/">Julitreffen 2006</a>|
| 7. Juni 2006|<a href="/Treffen/Termine/06_2006/">Junitreffen 2006</a>|Vorträge: vim - Editor (Ingo Blechschmidt), fish - friendly interactive shell (Michael Hartmann)|
| 3. Mai 2006|<a href="/Treffen/Termine/05_2006/">Maitreffen 2006</a>|
| 5. April 2006|<a href="/Treffen/Termine/04_2006/">Apriltreffen 2006</a>|
| 1. März 2006|<a href="/Treffen/Termine/03_2006/">Märztreffen 2006</a>|Vorbesprechung Linux-Infotag|
| 1. Februar 2006|<a href="/Treffen/Termine/02_2006/">Februartreffen 2006</a>|Vortrag: <a href="/Angebote/Vortraege/SVK//">Versionsverwaltung mit SVK</a> (Ingo Blechschmidt), <a href="/Angebote/Vortraege/DPKG//">Debian-Pakete im Eigenbau</a> (Michael Hartmann)|
|25. Januar 2006|<a href="/Treffen/Termine/01b_2006/">Sondertreffen </a>|Vorträge: amaroK - Rediscover your Music! (Michael Hartmann),  <a href="/Angebote/Vortraege/DHCP//">Dynamic Host Configuration Protocol (DHCP)</a> (Ingo Blechschmidt), <a href="/Angebote/Vortraege/FTP//">File Transfer Protocol (FTP)</a> (Ingo Blechschmidt), <a href="/Angebote/Vortraege/qemu//">QEMU in der Praxis</a> (Michael Hartmann)|
| 4. Januar 2006|<a href="/Treffen/Termine/01_2006/">Januartreffen 2006</a>|Buchvorstellung: <a href="http://www.oreilly.de/catalog/umlinuxger//">Umsatteln auf Linux</a> (Dieter Thalmayr)|
|2005|
| 7. Dezember 2005|<a href="/Treffen/Termine/12_2005/">Dezembertreffen 2005</a>|Weihnachtsfeier: Bitte Tassen und Plätzchen mitbringen!|
| 2. November 2005|<a href="/Treffen/Termine/11_2005/">Novembertreffen 2005</a>|Vortrag: <a href="/Angebote/Vortraege/ARP_Spoofing//">"Wie man das Internet abschaltet" oder ARP-Spoofing</a> (Ingo Blechschmidt)|
| 5. Oktober 2005|<a href="/Treffen/Termine/10_2005/">Oktobertreffen 2005</a>|Vortrag: Linux auf einem Access Point (Edmund Jung)|
| 7. September 2005|<a href="/Treffen/Termine/09_2005/">Septembertreffen 2005</a>|Vorträge: <a href="/Angebote/Vortraege/Terminals//">Terminals, uxterm und screen</a> (Ingo Blechschmidt) und Nintendo-Emulatoren unter Linux (Michael Koreny)|
| 3. August 2005|<a href="/Treffen/Termine/08_2005/">Augusttreffen 2005</a>|Vortrag: <a href="/Angebote/Vortraege/Pugs//">Anatomie eines Compilers am Beispiel von Pugs (Ingo Blechschmidt)</a>|
| 6. Juli 2005|<a href="/Treffen/Termine/07_2005/">Julitreffen 2005</a>|Vorträge: <a href="/Angebote/Vortraege/OpenVPN//">VPNs allgemein und OpenVPN speziell</a> (Michael Hartmann) und <a href="/Angebote/Vortraege/HTTP//">Hypertext Transfer Protocol und Proxyketten</a> (Ingo Blechschmidt)|
| 8. Juni 2005|<a href="/Treffen/Termine/06b_2005/">Sondertreffen Netzwerk und Linux</a>|Vorträge: Netzwerk Live-CDs (Michael Hartmann), Netzwerkeinrichtung auf der Konsole (Karsten Nordsiek), <a href="/Angebote/Vortraege/Port_Knocking//">Port-Knocking</a> (Ingo Blechschmidt), SSH-Tunnel (Ingo Blechschmidt),  <a href="/Angebote/Vortraege/NAT_UDP//">Verbindung zwischen Computern hinter NAT-Gateways ohne vermittelnden Server</a> (Ingo Blechschmidt)|
| 1. Juni 2005|<a href="/Treffen/Termine/06_2005/">Junitreffen 2005</a>|
| 4. Mai 2005|<a href="/Treffen/Termine/05_2005/">Maitreffen 2005</a>|Vorträge: <a href="/Angebote/Vortraege/Perl6//">Perl 6, genau jetzt!</a> (Ingo Blechschmidt), LiveCDs (Michael Hartmann)|
| 6. April 2005|<a href="/Treffen/Termine/04_2005/">Apriltreffen 2005</a>|Vortrag: <a href="/Angebote/Vortraege/rsync_backup/">Schnelle Backups mit verschlüsseltem Dateisystem und rsync</a> (Michael Roppel)|
| 2. März 2005|<a href="/Treffen/Termine/03_2005/">Märztreffen 2005</a>|
| 2. Februar 2005|<a href="/Treffen/Termine/02_2005/">Februartreffen 2005</a>|Vortrag: <a href="/Angebote/Vortraege/IPv6//">Internet Protocol v6</a> (Ingo Blechschmidt)|
